date,open,high,low,close,adjusted_close,volume
2021-10-28,47.0,48.0,44.48,46.4,46.4,18618910
2021-10-29,46.0,49.48,45.61,48.74,48.74,4640000
2021-11-01,54.27,59.99,53.06,53.87,53.87,9900000
2021-11-02,57.51,58.62,55.0,56.42,56.42,4100000
2021-11-03,57.0,59.38,56.17,59.0,59.0,2630000
2021-11-04,60.35,65.74,60.35,62.68,62.68,3970000
2021-11-05,65.0,66.0,56.16,63.63,63.63,4220000
2021-11-08,62.81,62.97,58.82,59.36,59.36,3000000
2021-11-09,58.98,61.12,56.87,59.83,59.83,1940000
2021-11-10,59.0,59.81,56.93,57.72,57.72,1540000
2021-11-11,58.73,59.66,55.05,56.19,56.19,1760000
2021-11-12,55.63,56.35,53.25,55.96,55.96,1700000
2021-11-15,55.69,60.12,53.85,59.6,59.6,1420000
2021-11-16,59.13,62.77,57.7,61.67,61.67,1130000
2021-11-17,61.98,64.17,61.5,62.7,62.7,1420000
2021-11-18,67.39,67.39,63.5,64.27,64.27,2830000
2021-11-19,66.01,67.9,61.7,62.11,62.11,2390000
2021-11-22,66.14,68.19,62.6,63.99,63.99,4230000
2021-11-23,64.06,64.78,61.61,63.78,63.78,1530000
2021-11-24,63.87,69.57,62.33,68.97,68.97,2000000
2021-11-26,65.75,69.1,64.79,67.29,67.29,1450000
2021-11-29,68.96,73.25,68.8,70.54,70.54,3810000
2021-11-30,71.0,71.46,64.22,69.24,69.24,3440000
2021-12-01,72.0,72.48,66.06,66.26,66.26,3150000
2021-12-02,65.45,67.18,62.44,65.81,65.81,1910000
2021-12-03,65.32,69.39,63.6,69.03,69.03,1920000
2021-12-06,67.81,67.96,63.79,64.92,64.92,2760000
2021-12-07,66.02,70.64,66.02,67.86,67.86,2760000
2021-12-08,68.03,68.1,64.8,65.77,65.77,1780000
2021-12-09,66.16,67.45,63.14,63.7,63.7,1500000
2021-12-10,65.1,65.86,61.19,63.83,63.83,1880000
2021-12-13,63.99,65.28,60.84,61.21,61.21,1320000
2021-12-14,60.55,61.37,58.61,60.14,60.14,1380000
2021-12-15,60.63,61.18,57.44,60.97,60.97,1850000
2021-12-16,61.64,62.55,59.78,60.66,60.66,2030000
2021-12-17,59.1,60.4,56.2,60.0,60.0,5670000
2021-12-20,58.51,60.13,56.6,59.9,59.9,2710000
2021-12-21,60.58,62.45,59.75,62.24,62.24,2120000
2021-12-22,62.15,62.45,60.53,62.43,62.43,839420
2021-12-23,62.28,63.87,61.0,61.71,61.71,751210
2021-12-27,62.0,64.39,61.63,64.0,64.0,755060
2021-12-28,64.77,67.47,64.05,65.38,65.38,1040000
2021-12-29,65.27,66.33,63.05,63.8,63.8,733790
2021-12-30,64.0,65.36,63.43,64.49,64.49,1050000
2021-12-31,64.49,65.55,63.77,64.97,64.97,866090
2022-01-03,65.09,67.39,64.35,66.73,66.73,1770000
2022-01-04,67.32,69.34,63.91,65.71,65.71,1990000
2022-01-05,64.63,66.12,62.26,62.55,62.55,1900000
2022-01-06,62.14,63.47,60.25,61.51,61.51,1150000
2022-01-07,61.11,61.7,58.31,60.01,60.01,1180000
2022-01-10,58.78,59.88,56.19,59.76,59.76,1610000
2022-01-11,59.76,62.48,58.8,62.14,62.14,1110000
2022-01-12,62.96,64.1,61.21,62.05,62.05,790210
2022-01-13,63.1,63.37,59.15,59.35,59.35,1740000
2022-01-14,59.0,60.2,57.26,59.6,59.6,910300
2022-01-18,58.77,59.97,57.53,57.94,57.94,1420000
2022-01-19,58.03,58.43,55.73,56.67,56.67,3380000
2022-01-20,57.12,57.67,53.51,53.53,53.53,2320000
2022-01-21,52.09,52.5,49.46,51.25,51.25,4230000
2022-01-24,48.0,50.53,45.67,50.44,50.44,3710000
2022-01-25,48.56,49.11,46.71,46.87,46.87,2280000
2022-01-26,49.49,51.17,47.23,47.6,47.6,2920000
2022-01-27,49.0,49.77,43.92,44.71,44.71,5040000
2022-01-28,44.71,46.58,43.59,46.09,46.09,2980000
2022-01-31,46.34,49.49,45.96,49.34,49.34,1910000
2022-02-01,49.83,50.72,49.46,50.09,50.09,1570000
2022-02-02,51.88,51.88,49.6,50.35,50.35,1580000
2022-02-03,49.0,50.94,48.65,49.34,49.34,1930000
2022-02-04,49.41,52.3,48.7,52.07,52.07,2250000
2022-02-07,52.7,55.6,52.21,54.49,54.49,3350000
