date,open,high,low,close,adjusted_close,volume
2010-01-04,59.22,59.655,58.94,59.34,42.9857,822857
2010-01-05,59.18,59.49,57.39,58.11,42.0947,2352622
2010-01-06,57.82,57.99,57.2,57.34,41.5369,1685531
2010-01-07,57.08,57.14,56.18,56.79,41.1385,1939503
2010-01-08,56.7,57.62,56.6,57.55,41.689,1332420
2010-01-11,57.5,57.91,57.22,57.72,41.8122,1227260
2010-01-12,57.47,57.64,56.79,56.99,41.2833,1425661
2010-01-13,57.0,57.465,56.34,57.32,41.5224,1513222
2010-01-14,57.02,57.88,57.02,57.62,41.7397,818081
2010-01-15,57.51,58.11,57.23,57.72,41.8122,1592338
2010-01-19,57.7,58.4674,57.64,58.13,42.1092,1061127
2010-01-20,57.53,57.85,56.89,57.78,41.8556,1157698
2010-01-21,57.69,58.37,56.98,57.63,41.747,1659137
2010-01-22,57.71,58.15,57.24,57.35,41.5441,1558067
2010-01-25,57.49,57.845,56.79,57.46,41.6238,1167221
2010-01-26,57.19,57.59,56.94,57.1,41.363,1347094
2010-01-27,56.83,57.6,56.62,57.46,41.6238,881204
2010-01-28,57.64,57.64,56.2,56.54,40.9574,1173135
2010-01-29,56.68,57.28,56.6267,56.63,41.0226,1527762
2010-02-01,56.84,57.65,56.6875,57.4,41.5803,985156
2010-02-02,57.24,57.54,56.68,57.42,41.5948,1478244
2010-02-03,52.84,54.375,51.5,53.54,38.7842,8727251
2010-02-04,53.31,53.95,52.67,53.25,38.5741,3974254
2010-02-05,53.16,54.08,51.16,52.44,37.9873,2832916
2010-02-08,52.65,52.97,52.01,52.08,37.7266,2046242
2010-02-09,52.64,53.68,52.11,52.67,38.154,2715155
2010-02-10,52.0,52.51,51.31,51.84,37.5527,1904200
2010-02-11,51.63,53.3,51.4601,53.1,38.4654,2533277
2010-02-12,52.47,52.7,51.68,52.12,37.7555,2414798
2010-02-16,52.39,53.29,52.39,52.75,38.2119,1510960
2010-02-17,53.05,53.43,52.57,53.0,38.393,1345293
2010-02-18,53.05,53.08,52.77,52.9,38.3206,1031927
2010-02-19,52.78,53.97,52.78,53.5,38.7552,1768057
2010-02-22,53.77,54.31,53.31,54.16,39.2333,1625491
2010-02-23,54.24,54.5,53.14,53.56,38.7987,2653711
2010-02-24,54.0,54.24,53.31,53.68,38.8856,1822468
2010-02-25,53.0,53.54,52.5,53.49,38.748,1614202
2010-02-26,53.49,53.56,52.7,53.33,38.6321,1701304
2010-03-01,53.29,63.65,53.02,53.56,38.7987,2163567
2010-03-02,53.5,53.74,53.17,53.21,38.5451,1598065
2010-03-03,52.82,53.08,52.38,52.47,38.1885,2205405
2010-03-04,52.7,52.91,52.25,52.67,38.3341,1609969
2010-03-05,52.68,53.38,52.67,53.25,38.7562,1621433
2010-03-08,54.05,54.1,53.3,53.32,38.8071,1488422
2010-03-09,53.25,53.56,53.02,53.39,38.8581,1060157
2010-03-10,53.52,54.07,53.09,53.67,39.0619,1695586
2010-03-11,53.36,53.65,53.04,53.46,38.909,1975460
2010-03-12,53.57,54.07,53.115,53.87,39.2074,1710750
2010-03-15,53.97,54.23,53.45,53.88,39.2147,1651000
2010-03-16,54.12,55.68,53.99,55.28,40.2337,3479542
2010-03-17,55.35,56.21,55.16,55.68,40.5248,1992284
2010-03-18,55.46,56.81,55.28,56.58,41.1798,2114533
2010-03-19,57.24,57.68,56.38,56.6,41.1944,3059491
2010-03-22,56.36,56.65,56.14,56.23,40.9251,1451153
2010-03-23,56.07,56.49,55.76,56.43,41.0706,1303835
2010-03-24,56.4,56.42,55.73,56.12,40.845,1293798
2010-03-25,56.43,56.78,55.56,55.65,40.503,1779859
2010-03-26,55.64,55.97,55.25,55.56,40.4374,1545575
2010-03-29,55.71,56.77,55.71,56.09,40.8232,1279462
2010-03-30,56.01,56.45,55.8,56.22,40.9178,1372800
2010-03-31,55.83,56.12,55.64,55.85,40.6485,1376365
2010-04-01,55.98,56.23,55.17,55.68,40.5248,1178772
2010-04-05,55.98,56.16,55.44,55.66,40.5102,1094788
2010-04-06,55.24,55.68,54.995,55.28,40.2337,1574400
2010-04-07,55.43,55.67,54.97,55.15,40.139,2051284
2010-04-08,55.18,55.72,54.78,55.6,40.4666,1837687
2010-04-09,55.75,56.69,55.71,56.45,41.0852,2885201
2010-04-12,57.6,57.6,56.44,56.44,41.0779,3151562
2010-04-13,56.28,56.73,55.91,56.59,41.1871,1647889
2010-04-14,56.5,57.81,56.49,57.74,42.0241,1987439
2010-04-15,58.01,59.76,57.86,58.93,42.8902,3466438
2010-04-16,58.85,58.95,57.84,58.38,42.4899,2157232
2010-04-19,58.06,58.86,58.06,58.63,42.6718,1601298
2010-04-20,58.92,59.31,58.48,58.9,42.8684,1485229
2010-04-21,57.0,61.27,56.99,60.0,43.6689,5813797
2010-04-22,60.11,62.15,59.51,61.462,44.733,4289676
